Type,Name of the ULB with Grade,Population (2001 Census),Population (based on houselisting) provisional,Area (in Sq.km)
Corporations,Coimbatore,1262122,2151466,265.36
Corporations,Madurai,1230015,1462420,147.99
Corporations,Tiruchirapalli,796644,1021717,167.23
Corporations,Tirunelveli,411831,498984,108.65
Corporations,Salem,696760,919150,91.34
Corporations,Erode,405345,521776,109.52
Corporations,Tiruppur,548773,962982,159.37
Corporations,Thoothukudi,320466,410760,90.64
Corporations,Vellore,423425,481966,87.91
Corporations,TOTAL-CORPORATIONS,6095381,8431221,1228.01
Municipalities - Grade I,Arakonam,78686,79330,9.06
Municipalities - Grade I,Arani,60815,63628,11.62
Municipalities - Grade I,Aranthangi,34134,40829,15.36
Municipalities - Grade I,Arcot,49953,55917,7.49
Municipalities - Grade I,Aruppukottai,84029,87678,14.96
Municipalities - Grade I,Bodinayakanur,73410,75665,7.23
Municipalities - Grade I,Chenglepet,62582,64136,6.09
Municipalities - Grade I,Colachel,23787,24155,5.18
Municipalities - Grade I,Cumbum,58891,68089,6.58
Municipalities - Grade I,Devakottai,40497,51892,12.42
Municipalities - Grade I,Dharapuram,64984,65163,7.02
Municipalities - Grade I,Gudiyatham,91452,91664,4.71
Municipalities - Grade I,Idappadi,48815,55385,28.22
Municipalities - Grade I,Kadayanallur,75612,90344,52.25
Municipalities - Grade I,Kallakurichi,36793,53850,11.69
Municipalities - Grade I,Komarapalayam,65868,73018,7.1
Municipalities - Grade I,Krishnagiri,64587,71283,11.5
Municipalities - Grade I,Manaparai,35770,43857,20.85
Municipalities - Grade I,Palladam,30016,42243,19.42
Municipalities - Grade I,Panruti,55346,60233,18.03
Municipalities - Grade I,Paramakudi,84321,95547,13
Municipalities - Grade I,Poonamalle,42604,60070,25.55
Municipalities - Grade I,Ramanathapuram,62050,64165,6.33
Municipalities - Grade I,Rasipuram,46330,50068,8.16
Municipalities - Grade I,Sankarankoil,53606,57315,12.37
Municipalities - Grade I,Sathiamangalam,33722,37805,29.24
Municipalities - Grade I,Sivagangai,40220,43688,6.97
Municipalities - Grade I,Srivilliputhur,73183,75373,5.72
