Area,Area / Depot,Area and Depot Office Address,Phone No.
Area – I,Area Office,"No.19,Market Land, Kaladipet, Thiruvottiyur, Chennai-600 119",25991908
Area – I,2,"Kathivakkam Municipality Office,Chennai-57",NA
Area – I,9,"T.H.Road, Near Over Head Tank, Thiruvottiyur, Chennai-19",NA
Area – II,Area Office,"No.162, Nedunchezhian Salai, Manali, Chennai-600 068",25940719
Area – II,15,"Block 57, Manali New Town, Chennai-103",25930739
Area – II,19,"Mathur Panchayat Office, Mathur MMDA, Chennai-68",NA
Area - III,Area Office,"No.1, Perumal Koil Street, Madhavaram, Chennai-600 060. (Behind Madhavaram Bus Depot)",25530100
Area - III,33,"Thanikachalam Nagar Head Works, Ponniammanmedu Chennai-110",NA
Area – IV,Area Office,"No.10-C, Central Avenue Road, MKB Nagar, Ch-600 039",25984647
Area – IV,35,"L-10. SIDCO 1st Main Road, Kaviyarasu Kannadasan Nagar, Ch-118",25545807
Area – IV,36,"4th Main Road, M.K.B Nagar Pumping Station, Chennai-39",26734138
Area – IV,39,"Cherian Nagar Main Road, New Washermenpet, Chennai-81",25911610
Area – IV,40,"No.1, Seniamman Koil Street,Chennai-81",25912957
Area – IV,42,"608, Thiruvottiyur High Road, Near Tondiarpet, Manigoondu,Ch-21",25965668
Area – IV,48,"24,Ramanujam Road, Old Washermenpet Ch-21",25956975
Area – V,Area Office,"No.1, M.C.Road, Royapuram, Chennai-600 021(Opp to Veera's Textiles)",25904310
Area – V,49,"No.54, Kothandaraman `St., Ch-13",25965667
Area – V,52,"No.59,M.S.Koil St., Ch-13",25951643
Area – V,54,"No.6, Amman Koil 1st Lane, George Town, Chennai-79",25200182
Area – V,55,"No.121, Seven Wells Road, Chennai-1",25284225
Area – V,56,"No.14,Geil St.,Muthialpet,Ch.1",25212358
Area – V,57,"No.48, Govindappan St.,Ch-79",25270970
Area – V,58,"No.1,Whannels Road,Egmore,Chennai-8",25322877
Area – V,59,"No.2, Memorial Hall Road, Park Town,Chennai-3",25355128
Area – V,60,"Old No.182, New No.302, Thambu Chetty Street, Chennai-1",25223849
Area – VI,Area Office,"No.2, Vadivelu 2nd Cross Street, Perambur, Chennai-11.",25517457
Area – VI,64,"Kalidass St,Jeyaram Nagar, Kolathur, Ch-99,",26501035
Area – VI,66,"No.3,3rd Circular Road, 2nd Cross St.,Jawahar Nagar, Chennai-82.,",26705290
Area – VI,67,"No.27 Loco Works Road,Agaram, Chennai-82",26700817
Area – VI,68,"No.238, Papers Mills Road,Perambur Ch.11",26721324
Area – VI,72,"No.40,Thiruvenkatasamy St., Pulianthope, Ch-12",26672811
Area – VI,74,"No.48, Subbarayan 2nd st, Otteri, Chennai12",26450762
Area – VI,75,"No.54, Venkatadri St., ch-7",26624443
Area – VI,76,"181, Perambur Barrex Road, Chennai-12",26621161
Area – VI,77,"1st Main Road, Bogipalayam,Pulianthope, Ch-12",26672264
Area – VII,Area Office,"No.1, T.S.Krishna Nagar, Mogappiar East, Anna Nagar, Chennai-600 037",26562457
Area – VII,79,"Othavadi St.,Oragadam, Ambattur, Chennai-53",26672264
Area – VII,85,"MTH Road, Opp TI Cycles, Ambattur,Chennai-53",NA
Area – VII,86,"Athipattu Over Head Tank, Vanagaram Road, Athipattu, Ambattur, Ch-58",NA
Area – VII,88,"Park Road, Anna Nagar West, Chennai-101",26540402
Area – VII,89,"No.1, T.S.Krishna Nagar main road,Mogappair, Ch-101",26565449
Area – VII,90,"Park Road, Anna Nagar West, Chennai-101",26540402
Area – VII,91,"Filling Point Road, Mogappair West, Ch-37",26530413
Area – VII,92,"Mogappair East Head Works, 12th Block, Chennai-37",26562456
Area – VII,93,"Mogappair East Head Works, 12th Block, Chennai-37.",26562456
Area – VIII,Area Office,"227, II Avenue, Near 12th Main Road, Anna Nagar, Chennai-600 040,",26212101
Area – VIII,94,"Ist Main Road, SIDCO Nagar,Villivakkam, Chennai-49.",26171936
Area – VIII,95,"1630, J Block, Vth Street, Ch-40",26162764
