S.No.,Area,Location,Office Address,Phone No
1,AREA-I,Thiruvottiyur,"No.19,Market Land, Kaladipet, Thiruvottiyur, Chennai-600 119",25991908
2,AREA-II,Manali,"No.162, Nedunchezhian Salai, Manali, Chennai-600 068",25940719
3,AREA-III,Madhavaram,"No.1, Perumal Koil Street, Madhavaram, Chennai-600 060. (Behind Madhavaram Bus Depot)",25530100
4,AREA-IV,Tondiarpet,"No.10-C, Central Avenue Road, MKB Nagar, Ch-600 039",25984647
5,AREA-V,Royapuram,"No.1, M.C.Road, Royapuram, Chennai-600 021(Opp to Veera's Textiles)",25904310
6,AREA-VI,Thiru-Vi-Ka Nagar,"No.2, Vadivelu II Cross Street, Perambur, Chennai-600 011",25517457
7,AREA-VII,Ambattur,"No.1, T.S.Krishna Nagar, Mogappiar East, Anna Nagar, Chennai-600 037",26562457
8,AREA-VIII,Anna Nagar,"227, II Avenue, Near 12th Main Road, Anna Nagar, Chennai-600 040",26212101
9,AREA-IX,Teynampet,"No.1, Dr.Ranga Road, Abiramapuram, Chennai-600 018",24996796
10,AREA-X,Kodambakkam,"No.9, Muthukrishnan Street, T.Nagar, Chennai-600 017",28150059
11,AREA-XI,Valasaravakkam,"No.8A, Gangai Amman Koil Street,Alapakkam, Chennai-600 116",24867244
12,AREA-XII,Alandur,"No.1, New Street, Alandur, Chennai-600 016",22331606
13,AREA-XIII,Adyar,"No.42, First Main Road, Chennai-600 020",24451121
14,AREA-XIV,Perungudi,"Rajiv Gandhi Road, Kottivakkam, Chennai 600 041",22422566
15,AREA-XV,Sholinganallur,"Kamarajar salai, Sholinganallur, Chennai 600 119(Near Corporation High School (Opp to Prithingradevi Temple).",24500262
