Area No.,Depot No.,Office Address,Phone No.
Area I,1,"Kathivakkam Municipality Office,Chennai-57",-
Area I,2,"Kathivakkam Municipality Office,Chennai-57",-
Area I,3,"Annai Sivagami Nagar, 10th Street, (Old pump House)",-
Area I,4,"Ramanathapuram 2nd Street, Vimco Nagar, Chennai-57",-
Area I,5,"Neithal Nagar, Headworks, (Under construction), Ch-57",-
Area I,6,"K.R.Ramasamy Nagar, Near Over Head Tank, Therady,Thiruvottiyur,Ch-19.",-
Area I,7,"K.R.Ramasamy Nagar, Near Over Head Tank, Therady,Thiruvottiyur,Ch-19.",-
Area I,8,"T.H.Road, Near Over Head Tank, Thiruvottiyur, Chennai-19",-
Area I,9,"T.H.Road, Near Over Head Tank, Thiruvottiyur, Chennai-19",-
Area I,10,"T.H.Road, Near Over Head Tank, Thiruvottiyur, Chennai-19",-
Area I,11,"T.H.Road, Near Over Head Tank, Thiruvottiyur, Chennai-19",-
Area I,12,"Thiyagarayapuram, Near Over Head Tank, Thiruvottiyur,Ch-19",-
Area I,13,"Thiyagarayapuram, Near Over Head Tank, Thiruvottiyur,Ch-19",-
Area I,14,"Thiyagarayapuram, Near Over Head Tank, Thiruvottiyur,Ch-19",-
Area II,15,"Block 57, Manali New Town, Chennai-103",25930739
Area II,16,"Sadayankuppam Village, Panchayat Office, Sadayankuppam,Ch-103",25545807
Area II,17,"Sadayankuppam Village, Panchayat Office, Sadayankuppam,Ch-103",25930739
Area II,18,"No.112, Ambedkar Street, Manali, Chennai-68",25940719
Area II,19,"Mathur Panchayat Office, Mathur MMDA, Chennai-68",-
Area II,20,"No.112, Ambedkar Street, Manali, Chennai-68",25940719
Area II,21,"No.112, Ambedkar Street, Manali, Chennai-68",25940719
Area III,22,"Puzhal Town Panchayat Office, Puzhal, Chennai-66",-
Area III,23,"Puzhal Town Panchayat Office, Puzhal, Chennai-66",-
Area III,24,"Puthagaram Village, Panchayat Office Puthagaram, Ch-66",-
