SNO,NAME OF DAM,District,Taluk,Block,Nearest city/town,Longitude of dam,Latitude of dam ,Year of Completion,River,Tributary,Basin,Sub Basin,Seismic zone,Type of Dam,Catchment Area (Sq.Km),Length of dam (m),Height above lowest foundation (m),Gross storage capacity  (10 3m3),Classification of Dams as per BIS,Volume content of dam (10 3m3),Water Spread area at  FRL (Sq.Km),"Effective storage capacity 
(103 m 3 )",MWL (m),FRL (m),Designed spillway capacity (m3  /sec),Spillway Type,Purpose,Command Area (Acres),Hydro Electric Power (MW),Latitude,Longitude
1,Periyar (Mullai Periyar) ,Idukki,Peermedu,Azhutha,Kumily,"09°31'44""","77°08'40""",1895,Mullai Periyar,NA,Periyar,NA,III,PG,602.95,365.85,52.12,443500.8,Large,221,26.44,299310.69,873.2,872.285,3454,"Vertical Lift Shutters 10 Nos.
Radial shutters 
3 Nos.",I/H,212758,"3x42
1x35",9.528888889,77.14444444
2,Pechipparai,Kanyakumari,NA,Thiruvattar,Kuzhithurai,"08°27'04""","77°18'30""",1906,Kodaiyar,NA,Kodayar,NA,III,PG,207.19,425.5,47.54,150162.1,Large,123,NA,123107.8,92.05,92.05,1104,NA,I,38850.24 Combined,,8.451111111,77.30833333
3,Willingdon,Villupuram,Titakudi,Mangalore,Thittagudi,"11°25'33""","79°06'16""",1923,Periyar odai,Vellar river / Willington feeder canal,Vellar River Basin,Periya Odai,II,TE/PG,129.5,4300,17.22,73400,Large,3879,15.54,60010,75.7,72.54,384,Controlled Spillway,I,27675,NA,11.42583333,79.10444444
4,Glenmorgan,Nilgiris,Ooty,Ooty,Ooty,"11°30'11""","76°35'27""",1930,Glenmorgan stream,NA,Pykara,NA,II,PG,2.59,80,16,740,Large,7.12,0.166,NA,NA,2036.5,46,Uncontrolled,H,NA,Diversion Dam,11.50305556,76.59083333
5,Mettur,Salem,Mettur,NA,Salem,"11°48'11""","77°48'24""",1934,Cauvery,NA,Upper  Cauvery,NA,II,PG,42217,1615.4,65.23,2707128,Large,1546,78.76,2645201,242.62,240.79,12904.8,Controlled spillway,I/H/S,1650000,240,11.80305556,77.80666667
6,Pykara,Nilgiris,Ooty,Ooty,Ooty,"11°27'44.5""","76°36'12""",1935,Pykara,NA,Pykara,NA,II,PG,NA,193,56,56630,Large,NA,NA,55080,NA,2072.9,877,controlled,H,NA,2,11.46236111,76.60333333
7,Mukurthi,Nilgiris,Ooty,Ooty,Ooty,"11°24'36""","76°33'50""",1938,Mukurthi,NA,Pykara,NA,II,PG,25.25,162,34,50980,Large,34.63,NA,50710,2098.7,2098.7,425,controlled,H,NA,0.7,11.41,76.56388889
8,Thambaraparani,Thirunelveli,Ambasamudaram,Ambasamudaram,Ambasamudaram,"08°39'04""","77°18'39""",1943,Thambaraparani,NA,Thamirabarani,NA,III,PG,149.03,227,66,155800,Large,1352,5.8,149430,NA,264.57,2549,controlled,H/I,NA,Diversion Dam,8.651111111,77.31083333
9,Papanasam Div weir,Thirunelveli,Ambasamudaram,Ambasamudaram,Ambasamudaram,"08°41'51""","77°21'26""",1944,Thambaraparani,NA,Thamirabarani,NA,II,PG,182.85,409,18,1387,Large,NA,0.62,790,NA,194.16,4249,Uncontrolled,H/I,NA,32,8.6975,77.35722222
10,Poondi,Tiruvallore,Thiruvallur,Thiruvallur,Chennai,"13°12'39""","79°52'18""",1944,Kosasthalaiyar,"Nagariyar, Nandiyar",Palar,Kosasthalaiyar,III,TE/PG,1968,8354.7,45.42,91437,Large,3980,32.63,91147,42.67,42.67,3385,Controlled Spillway,S,NA,NA,13.21083333,79.87166667
11,Maravakandy,Nilgiris,Ooty,Ooty,Ooty,"11°34'27""","76°39'15""",1947,Avarihalla,NA,Pykara,NA,II,TE/PG,20.72,415,22,822,Large,20,NA,NA,NA,914,312,Uncontrolled,H,NA,0.75,11.57416667,76.65416667
12,Moyar forebay,Nilgiris,Ooty,Ooty,Ooty,"11°36'21""","76°41'27.6""",1951,Moyar,NA,Pykara,NA,II,TE/PG,154.23,731,22,170,Large,NA,NA,NA,NA,902.5,130,Uncontrolled,H/S,NA,36,11.60583333,76.691
13,Perunchani,Kanyakumari,NA,Kanyakumari,Kuzhithurai,"08°21'51.3""","77°21'28""",1952,Paraliyar,NA,Kodayar,NA,III,PG,159.4,373.01,36.27,81787,Large,51,NA,81787,93.27,93.27,895,NA,I,38850.24 Combined,0.65,8.36425,77.35777778
14,Bhavanisagar,Erode,Sathyamangalam,BhavaniSagar,Mettupalayam,"11°28'15""","77°06'50""",1955,Bhavani,Bhavani,Cauvery,Bhavani,II,TE/PG,71.4,8797,62.18,929000,Large,4960,0.59,908000,386.38,386.38,4043,Controlled,I,6116.194656,16,11.47083333,77.11388889
15,Amaravathi,Tirupur,Udumalpet,Udumalpet,Udumalpet,"10°25'06""","77°15'48""",1958,Amaravathi,Amaravathi,Cauvery,Amaravathi,III,TE/PG,839.16,1093,50,114600,Large,1671,9.065,109360,358.14,358.14,4062,Ogee,I/H,54637.16544,4,10.41833333,77.26333333
16,Krishnagiri,Krishnagiri,Krishnagiri,Krishnagiri,Krishnagiri,"12°28'32""","78°11'08""",1957,Pennaiyar,"Pambar, Vaniyar, Naripalliyaru, Margandiyannadhi, Shoolagiri",Pennaiyar,Krishnagiri upto Pambar,II,TE/PG,5365.75,1002.79,28.05,47156,Intermediate,509,12.48,47156,484.63,483.11,4233.84,Controlled Spillway,I,9012,NA,12.47555556,78.18555556
17,Manimuthar,Tirunelveli,Ambasamudram,Ambasamudram,Ambasamudaram,"08°39'12""","77°24'50""",1958,Manimuthar,NA,Thamirabarani,NA,II,TE/PG,161.61,2927.6,45.73,155961.3,Large,4582,NA,155961.3,109.12,109.12,1699.2,NA,I,10363.67,NA,8.653333333,77.41388889
18,Periyar forebay,Theni,NA,NA,Theni,"09°38'48""","77°12'52""",1958,Vairavanar,NA,Periyar -Suriliyar,NA,III,PG,602.95,88,38,90.6,Large,27,NA,NA,NA,861.07,54,Uncontrolled,H,NA,140,9.646666667,77.21444444
19,Sathanur,Tiruvannamalai,Thandarampattu,Thandarampattu,Thiruvannamalai,"12°11'00""","78°51'02""",1957,Pennaiyar,"Chinnar 1, Chinnar 2, thumbalahalli, vaniyar, Pambar, Pambanaru, Varattar, Kallar, Koraiyaru, Thurinijalr",Pennaiyar,Pennaiyar,III,TE/PG,10825.78,786.38,44.81,228910,Large,363,20.1,19852,222.2,222.2,5660,Controlled Spillway,I/H/S,44972,7.5,12.18333333,78.85055556
20,Vaigai,Theni,"Periyakulam 
and Andipatti","Periyakulam 
and Andipatti",Andipatti,"10°03'13""","77°35'24""",1958,Vaigai,Vaigai,Vaigai,"Varatar, Nagalar",III,TE/PG,2252.33,3515,33.83,172476.28,Large,1574.74,24.2,169559.68,279.2,279.2,1783.32,Ogee,I/S/H,286152,6,10.05361111,77.59
21,Vidur,Villupuram,Thindivanam,Myllam,Dindivanam,"12°04'21""","79°35'10""",1959,Varahanadhi,"Varahanadhi, Tondiyar",Varahanadhi,Varahanadhi,III,TE/PG,1298,4511,22.55,17122,Intermediate,530,7.98,17122,37.8,37.795,1786.43,Controlled Spillway,I,3200,,12.0725,79.58611111
22,Avalanche,Nilgiris,Ooty,Ooty,Ooty,"11°19'12""","76°36'57""",1961,Avalanche stream,NA,Kundah,NA,III,PG,58.534 (inclu. Emerald),366,57,156200,Large,326,8.06,152800,1985.8,1985.8,705,controlled,H,NA,60,11.32,76.61583333
23,Emerald,Nilgiris,Ooty,Ooty,Ooty,"11°19'38""","76°37'16""",1961,Emerald,NA,Kundah,NA,III,PG,58.534,323,63,156200,Large,325,8.06,152800,NA,1985.8,NA,controlled ,H,NA,Diversion Dam,11.32722222,76.62111111
24,Kundahpallam,Nilgiris,Ooty,Ooty,Ooty,"11°16'59""","76°39'10""",1961,Kundah,NA,Kundah,NA,III,PG,113.96,152,32,1760,Large,45,NA,1560,1624.6,1624.6,1557,controlled,H,NA,175,11.28305556,76.65277778
25,Aliyar,Coimbatore,Pollachi,Annamalai,Pollachi,"10°28'59""","76°58'04""",1962,Aliyar,Aliyar,Bharathapuzha,Aliyar,III,TE/PG,196.83,3200.4,44.19,109420,Large,2940,6.5,106120,320.04,320.04,1161,Ogee,I,50744.78323,60,10.48305556,76.96777778
26,Sandynallah,Nilgiris,Ooty,Ooty,Ooty,"11°26'38""","76°39'08""",1963,Sandynallah stream,NA,Pykara,NA,II,PG/TE,44.035,107,36,26620,Large,NA,44.03,2310,NA,2145.5,312,controlled,H,NA,Diversion Dam,11.44388889,76.65222222
27,Bungihallahbund,Nilgiris,Ooty,Ooty,Ooty,"11°13'46""","76°31'25""",1965,Bhavani,NA,Kundah,NA,III,TE,33.57,280,24.38,NA,Large,224,NA,NA,NA,2276.88,NA,Uncontrolled,H,NA,Diversion Dam,11.22944444,76.52361111
