Sl.No,Name of the ULB,Total no. of HSC given for Domestic,Total no. of HSC given for Commercial,Total no. of HSC given for Industrial,Total no. of HSC given for all,Region
1,Chengalpattu,8322,138,1,8461,Chengalpattu
2,Kancheepuram,31218,531,3,31752,Chengalpattu
3,Madurantakam,2813,54,0,2867,Chengalpattu
4,Tambaram,14059,909,0,14968,Chengalpattu
5,Pallavapuram,20146,674,0,20820,Chengalpattu
6,Anakaputtur,7045,0,0,7045,Chengalpattu
7,Maraimalai Nagar,4318,99,143,4560,Chengalpattu
8,Pammal ,11185,21,14,11220,Chengalpattu
9,Sembakkam,0,0,0,0,Chengalpattu
10,Avadi,644,0,0,644,Chengalpattu
11,Tiruvallur,3860,235,0,4095,Chengalpattu
12,Poonammallee,4055,40,0,4095,Chengalpattu
13,Tiruthani,1987,20,0,2007,Chengalpattu
14,Thiruverkadu,0,0,0,0,Chengalpattu
15,Chidambaram,5865,143,0,6008,Chengalpattu
16,Cuddalore,10751,108,0,10859,Chengalpattu
17,Nellikuppam,3881,25,0,3906,Chengalpattu
18,Panruti,6611,16,0,6627,Chengalpattu
19,Virudhachalam,7387,119,0,7506,Chengalpattu
Total,Total,144147,3132,161,147440,Chengalpattu
20,Ambur,9598,54,4,9656,Vellore
21,Arakkonam,8515,60,0,8575,Vellore
22,Arcot,7330,164,0,7494,Vellore
23,Gudiyatham,9306,117,0,9423,Vellore
24,Ranipet,7272,292,13,7577,Vellore
25,Tirupathur,6992,2380,0,9372,Vellore
26,Vaniyambadi,8259,195,0,8454,Vellore
27,Walajapet,5613,53,0,5666,Vellore
28,Jolarpet,2711,16,0,2727,Vellore
29,Melvisharam,6025,43,0,6068,Vellore
30,Pernambut,5103,73,0,5176,Vellore
31,Tiruvannamalai,18726,235,0,18961,Vellore
32,Arani,5557,160,0,5717,Vellore
33,Thiruvathipuram,5266,224,0,5490,Vellore
34,Vandavasi,4403,106,0,4509,Vellore
35,Villupuram,7819,315,0,8134,Vellore
36,Tindivanam,3763,80,0,3843,Vellore
37,Kallakurichi,6169,223,0,6392,Vellore
Total,TOTAL,128427,4790,17,133234,Vellore
38,Tenkasi,12513,208,0,12721,Tirunelveli 
39,Sengottai,4790,92,0,4882,Tirunelveli 
40,Kadayanallur,13764,207,0,13971,Tirunelveli 
41,Puliyangudi,10107,115,5,10227,Tirunelveli 
42,Sankarankoil,11802,336,0,12138,Tirunelveli 
43,Ambasamudram,7801,215,1,8017,Tirunelveli 
44,Vickramasingapuram,10419,269,0,10688,Tirunelveli 
45,Kovilpatti,18364,382,76,18822,Tirunelveli 
46,Kayalpattinam,9200,15,0,9215,Tirunelveli 
