Sl.No,Name of ULB,Target,completed,progress,"To be commenced
",Region
1,Chengalpattu,1233,1103,130,0,Chengalpattu
2,Kancheepuram,4326,4326,0,0,Chengalpattu
3,Madurantakam,1002,951,0,51,Chengalpattu
4,Pallavapuram,1689,1689,0,0,Chengalpattu
5,Tambaram,1227,1227,0,0,Chengalpattu
6,Anakaputhur,164,164,0,0,Chengalpattu
7,Maraimalainagar,2945,2420,270,255,Chengalpattu
8,Pammal,399,399,0,0,Chengalpattu
9,Sembakkam,153,153,0,0,Chengalpattu
10,Avadi,4486,3081,686,719,Chengalpattu
11,Tiruvallur,707,707,0,0,Chengalpattu
12,Poonamallee,718,585,133,0,Chengalpattu
13,Tiruthani,222,222,0,0,Chengalpattu
14,Tiruverkadu,1477,1400,85,-8,Chengalpattu
15,Chidambaram,365,365,0,0,Chengalpattu
16,Cuddalore,4332,2657,609,1066,Chengalpattu
17,Nellikuppam,1355,1215,140,0,Chengalpattu
18,Panruti,429,429,0,0,Chengalpattu
19,Virudhachalam,2252,2000,252,0,Chengalpattu
TOTAL,Total,29481,25093,2305,2083,Chengalpattu
20,Ambur,1400,1366,34,0,Vellore 
21,Arcot,899,666,233,0,Vellore 
22,Arakkonam,750,660,90,0,Vellore 
23,Gudiyatham,1187,1183,4,0,Vellore 
24,Ranipet,929,912,17,0,Vellore 
25,Thirupathur,392,392,0,0,Vellore 
26,Vaniyambadi,1123,1123,0,0,Vellore 
27,Walajapet,870,748,122,0,Vellore 
28,Jolarpet,756,756,0,0,Vellore 
29,Melvisharam,801,801,0,0,Vellore 
30,Pernampet,295,295,0,0,Vellore 
31,Thiruvannamalai,1656,1656,0,0,Vellore 
32,Arani.,1266,1237,29,0,Vellore 
33,Thiruvathipuram.,844,777,67,0,Vellore 
34,Vandavasi.,784,784,0,0,Vellore 
35,Villupuram.,1287,1137,150,0,Vellore 
36,Tindivanam.,1111,1111,0,0,Vellore 
37,Kallakurichi,644,600,44,0,Vellore 
TOTAL,Total,16994,16204,790,0,Vellore 
38,Attur,2544,2398,146,0,Salem
39,Mettur,636,636,0,0,Salem
40,Idappadi,3783,1801,1113,869,Salem
41,Narasingapuram,1081,967,114,0,Salem
42,Namakkal,2123,2123,0,0,Salem
43,Tiruchengode,864,864,0,0,Salem
44,Komarapalayam,357,357,0,0,Salem
45,Rasipuram,629,629,0,0,Salem
46,Pallipalayam,445,445,0,0,Salem
47,Dharmapuri,379,379,0,0,Salem
48,Krishnagiri,433,433,0,0,Salem
49,Hosur,1514,1514,0,0,Salem
50,Karur,2670,2670,0,0,Salem
51,Kulithalai,528,528,0,0,Salem
TOTAL,Total,17986,15744,1373,869,Salem
52,Pollachi,416,416,0,0,Tiruppur
53,Mettupalayam  ,659,659,0,0,Tiruppur
54,Valparai,343,343,0,0,Tiruppur
55,Udumalpet,374,374,0,0,Tiruppur
56,Dharapuram,544,544,0,0,Tiruppur
57,Palladam,211,211,0,0,Tiruppur
58,Vellakovil,1342,1342,0,0,Tiruppur
59,Kangeyam,488,488,0,0,Tiruppur
60,Gobichetti palayam,599,599,0,0,Tiruppur
61,Sathyamangalam,382,382,0,0,Tiruppur
62,Bhavani,557,557,0,0,Tiruppur
63,Punjai puliampatti,275,275,0,0,Tiruppur
64,Udhaga mandalam,2253,2253,0,0,Tiruppur
65,Coonoor,210,210,0,0,Tiruppur
66,Gudalur,668,668,0,0,Tiruppur
67,Nelliyalam,1750,1750,0,0,Tiruppur
TOTAL,Total,11071,11071,0,0,Tiruppur
68,Tirumangalam ,415,415,0,0,Madurai 
69,Melur,625,625,0,0,Madurai 
70, Usilampatti ,601,601,0,0,Madurai 
71,Theni allinagaram,3500,3185,315,0,Madurai 
72,Bodinayakanur,1182,1130,52,0,Madurai 
73,Chinnamanur,1207,1155,52,0,Madurai 
74,Cumbum,715,715,0,0,Madurai 
75,Periyakulam,429,429,0,0,Madurai 
76,Gudalur,1618,1084,193,341,Madurai 
77,Sivagangai,801,801,0,0,Madurai 
78,Devakottai,879,879,0,0,Madurai 
79,Karaikudi ,1823,1823,0,0,Madurai 
80,Ramanathapuram,374,374,0,0,Madurai 
81,Paramakudi,2866,2866,0,0,Madurai 
82,Keelakarai,287,287,0,0,Madurai 
83,Rameswaram,3994,3611,26,357,Madurai 
84,Kodaikanal,835,835,0,0,Madurai 
85,Oddanchatram,483,483,0,0,Madurai 
86,Palani,477,477,0,0,Madurai 
TOTAL,Total,23111,21775,638,698,Madurai 
87,Kumbakonam,695,691,4,0,Thanjavur
88,Pattukottai,947,947,0,0,Thanjavur
89,Nagapattinam,2309,2154,123,32,Thanjavur
90,Mayiladuthurai,788,775,13,0,Thanjavur
91,Sirkali,1233,1088,79,66,Thanjavur
92,Vedaranyam,2647,2647,0,0,Thanjavur
93,Tiruvarur,569,569,0,0,Thanjavur
94,Mannargudi,1584,1584,0,0,Thanjavur
95,Thiruthuraipoondi,1667,1667,0,0,Thanjavur
96,Koothanallur,872,872,0,0,Thanjavur
97,Pudukottai,1462,1462,0,0,Thanjavur
98,Aranthangi,745,745,0,0,Thanjavur
99,Manaparai,1425,1425,0,0,Thanjavur
100,Thuraiyur,648,630,7,11,Thanjavur
101,Thuvakudi,965,890,75,0,Thanjavur
102,Perumbalur,839,839,0,0,Thanjavur
103,Ariyalur,842,842,0,0,Thanjavur
104,Jayankondam,2706,2199,347,160,Thanjavur
TOTAL,Total,22943,22026,648,269,Thanjavur
105,Tenkasi,1806,1764,42,0,Tirunelveli 
106,Sankarankovil,2348,2348,0,0,Tirunelveli 
107,Kadayanallur,3018,3018,0,0,Tirunelveli 
108,Puliangudi,1734,1734,0,0,Tirunelveli 
109,Sengottai,694,694,0,0,Tirunelveli 
110,Ambasamudram,1238,1238,0,0,Tirunelveli 
111,Vickramasingapuram,2218,2218,0,0,Tirunelveli 
112,Kovilpatti,1570,1432,93,45,Tirunelveli 
113,Kayalpattinam,310,310,0,0,Tirunelveli 
114,Nagercoil,776,776,0,0,Tirunelveli 
115,Kuzhithurai,61,61,0,0,Tirunelveli 
116,Colachel,290,290,0,0,Tirunelveli 
117,Padmanabhapuram,197,197,0,0,Tirunelveli 
118,Virudhunager,1114,805,215,94,Tirunelveli 
119,Rajapalayam,3065,2988,77,0,Tirunelveli 
120,Sivakasi,3717,2983,330,404,Tirunelveli 
121,Srivilliputhur,2024,1317,385,322,Tirunelveli 
122,Aruppukottai,3113,2853,260,0,Tirunelveli 
123,Sattur,394,394,0,0,Tirunelveli 
124,Thiruthangal,1906,1906,0,0,Tirunelveli 
TOTAL,Total,31593,29326,1402,865,Tirunelveli 
