Grade,Name of the ULB,Total No. of Wards,Strength of the Council-General,Strength of the Council-Reserved for-SC,Strength of the Council-Reserved for-ST,Strength of the Council-Reserved for-Women
SPECIAL,Avadi,48,31,4,NA,13
SPECIAL,Cuddalore,45,29,3,NA,13
SPECIAL,Dindigul,48,31,2,NA,15
SPECIAL,Kancheepuram,51,33,2,NA,16
SPECIAL,Karur,48,30,4,NA,14
SPECIAL,Kodaikanal,24,15,2,NA,7
SPECIAL,Kovilpatti,36,23,2,NA,11
SPECIAL,Kumbakonam,45,30,1,NA,14
SPECIAL,Maraimalainagar,21,13,3,NA,5
SPECIAL,Nagercoil,52,34,1,NA,17
SPECIAL,Pallavapuram,42,26,4,NA,12
SPECIAL,Pollachi,36,24,2,NA,10
SPECIAL,Rajapalayam,42,26,4,NA,12
SPECIAL,Tambaram,39,25,3,NA,11
SPECIAL,Thanjavur,51,34,2,NA,15
SPECIAL,Thiruvannamalai,39,25,3,NA,11
SPECIAL,Uthagamandalam,36,22,6,NA,8
SELECTION GRADE,Ambur,36,23,3,NA,10
SELECTION GRADE,Attur,33,21,4,NA,8
SELECTION GRADE,Chidambaram,33,22,1,NA,10
SELECTION GRADE,Coonoor,30,19,4,NA,7
SELECTION GRADE,Dharmapuri,33,22,1,NA,10
SELECTION GRADE,Gobichettipalayam,30,19,2,NA,9
SELECTION GRADE,Hosur,45,30,2,NA,13
SELECTION GRADE,Karaikudi,36,24,1,NA,11
SELECTION GRADE,Mannargudi,33,22,1,NA,10
SELECTION GRADE,Mayiladuthurai,36,24,1,NA,11
SELECTION GRADE,Mettupalayam,33,22,2,NA,9
SELECTION GRADE,Mettur,30,19,3,NA,8
SELECTION GRADE,Nagapattinam,36,23,2,NA,11
SELECTION GRADE,Namakkal,39,24,4,NA,11
SELECTION GRADE,Palani,33,21,3,NA,9
SELECTION GRADE,Pammal,21,13,2,NA,6
SELECTION GRADE,Pattukottai,33,22,1,NA,10
SELECTION GRADE,Pudukottai,42,27,3,NA,12
SELECTION GRADE,Ranipet,30,17,6,NA,7
SELECTION GRADE,Sivakasi,33,21,2,NA,10
SELECTION GRADE,Theniallinagaram,33,21,3,NA,9
SELECTION GRADE,Thiruverkadu,18,11,3,NA,4
SELECTION GRADE,Thuraiyur,24,16,2,NA,6
SELECTION GRADE,Tindivanam,33,21,3,NA,9
SELECTION GRADE,Tiruchengode,33,21,2,NA,10
SELECTION GRADE,Tirupathur,36,22,4,NA,10
SELECTION GRADE,Udumalaipetai,33,21,2,NA,10
SELECTION GRADE,Valparai,21,11,7,NA,3
SELECTION GRADE,Vaniyambadi,36,23,3,NA,10
SELECTION GRADE,Villupuram,42,27,3,NA,12
SELECTION GRADE,Virudhunagar,36,24,1,NA,11
GRADE I,Arakonam,36,22,5,NA,9
GRADE I,Arani,33,22,2,NA,9
GRADE I,Aranthangi,27,19,0,NA,8
GRADE I,Arcot,30,20,2,NA,8
GRADE I,Aruppukottai,36,24,1,NA,11
GRADE I,Bodinayakanur,33,22,1,NA,10
GRADE I,Chenglepet,33,21,3,1,8
GRADE I,Colachel,24,17,0,NA,7
GRADE I,Cumbum,33,22,1,NA,10
GRADE I,Devakottai,27,18,1,NA,8
GRADE I,Dharapuram,30,19,3,NA,8
GRADE I,Gudiyatham,36,23,3,NA,10
GRADE I,Idappadi,30,20,1,NA,9
GRADE I,Kadayanallur,33,21,3,NA,9
GRADE I,Kallakurichi,21,13,2,NA,6
GRADE I,Komarapalayam,33,23,0,NA,10
GRADE I,Krishnagiri,33,21,2,NA,10
GRADE I,Manaparai,27,17,2,NA,8
GRADE I,Palladam,18,11,2,NA,5
GRADE I,Panruti,33,21,3,NA,9
GRADE I,Paramakudi,36,23,3,NA,10
GRADE I,Poonamalle,21,14,2,NA,5
GRADE I,Ramanathapuram,33,21,2,NA,10
GRADE I,Rasipuram,27,17,2,NA,8
GRADE I,Sankarankoil,30,18,4,NA,8
